,tf values
book,42
table,26
genre,23
order,22
user,20
page,19
books,18
unique,17
publisher,16
created,15
query,14
every,14
total,14
number,12
name,12
author,11
one,11
payment,11
must,10
rate,9
id,9
feedback,9
inner,9
ordered,9
sold,9
first,8
orders,8
users,8
procedure,8
select,8
key,8
type,8
prices,8
view,8
many,8
phone,8
date,8
soldquantity,7
sum,7
bookid,7
calculated,7
primary,7
returns,7
corresponding,7
isbn,7
trigger,7
income,7
attributes,7
two,7
shows,6
